Topic_0,million line code,market-rate-invest-kernel-motiv
Topic_1,report case studi,chang-function-reus-mainten-depend
Topic_2,busi process reengin,team-custom-agil-practic-develop
Topic_3,medium size enterpris,adopt-strategi-innov-electron-internet
Topic_4,abstract syntax tree,version-configur-rule-price-repositori
Topic_5,pervas comput environ,locat-privaci-pervas-legal-law
Topic_6,test case gener,test-techniqu-case-gener-detect
Topic_7,high level design,design-architectur-pattern-refactor-design pattern
Topic_8,object orient program,object-orient-object orient-aspect-modul
Topic_9,enterpris applic integr,code-applic-structur-gener-develop
Topic_10,illustr case studi,logic-tempor-transit-state-properti
Topic_11,unifi model languag,case-visual-larg-diagram-scale
Topic_12,integr develop environ,process-develop-knowledg-support-manag
Topic_13,measur object orient,measur-correl-evolutionari-perform-metric
Topic_14,goal orient requir,state-machin-goal-sequenc-state machin
Topic_15,wireless sensor network,network-mobil-power-devic-comput
Topic_16,model driven develop,model-domain-product-approach-develop
Topic_17,stochast petri net,algorithm-time-problem-optim-gener
Topic_18,experiment result demonstr,method-propos-cluster-imag-scheme
Topic_19,reliabl growth model,predict-estim-model-workflow-effort
Topic_20,architectur descript languag,specif-languag-formal-requir-method
Topic_21,inform commun technolog,organ-govern-organiz-manag-enterpris
Topic_22,model real time,model-concurr-verif-verifi-properti
Topic_23,electron medic record,inform-infrastructur-health-cloud-care
Topic_24,real world problem,world-real-real world-session-voic
Topic_25,high level languag,program-languag-type-java-programm
Topic_26,busi process model,busi-busi process-classif-classifi-process model
Topic_27,industri case studi,develop-project-requir-process-studi
Topic_28,result empir studi,studi-collabor-commun-group-learn
Topic_29,access control polici,perform-distribut-parallel-queri-protocol
Topic_30,decis make process,decis-agent-multi-make-intellig
Topic_31,fault prone modul,qualiti-class-metric-attribut-evalu
Topic_32,develop life cycl,secur-risk-open-attack-cycl
Topic_33,fault local techniqu,fault-reliabl-failur-oper-toler
Topic_34,discret event simul,simul-virtual-memori-problem-environ
Topic_35,distribut real time,control-time-real-real time-embed
Topic_36,approach case studi,compon-approach-dynam-adapt-requir
Topic_37,radio frequenc identif,rfid-tag-sign-reader-signatur scheme
Topic_38,servic orient architectur,servic-trust-provid-contract-orient
Topic_39,suppli chain manag,global-scenario-distribut-coordin-suppli
